plan_b_balance_final,plan_b_shortfall,plan_b_educacion_ok,satelite_balance_25,villarrica_ok,villarrica_shortfall,satelite_balance_final,herencia_ok,herencia_shortfall,todos_ok_plan_b
45309.31482948481,0.0,True,3692293.4792117956,True,0.0,24373205.999820374,True,0.0,True
107493.5305390894,0.0,True,2481496.3040504623,True,0.0,16788439.25813944,True,0.0,True
0.0,84504.00372993088,False,2221265.209442535,True,0.0,60509590.83651397,True,0.0,False
0.0,11754.048807041534,False,2616680.031345633,True,0.0,24606052.931172874,True,0.0,False
60412.508407548885,0.0,True,2812614.6673940923,True,0.0,73143345.50205444,True,0.0,True
0.0,2176.746906758217,False,2668568.719939769,True,0.0,32156253.566272292,True,0.0,False
189356.76359393864,0.0,True,4236519.808755494,True,0.0,20550836.995457746,True,0.0,True
0.0,63918.221877341886,False,2395801.29438101,True,0.0,23357736.91299707,True,0.0,False
152869.305050959,0.0,True,1289924.8008391066,True,0.0,14987846.454383599,True,0.0,True
0.0,4039.257643204928,False,3557194.1224814416,True,0.0,94998774.42126071,True,0.0,False
0.0,48778.902538321316,False,3287727.38686911,True,0.0,75307806.6558284,True,0.0,False
45048.72565549697,0.0,True,4557700.20640757,True,0.0,90082622.29802391,True,0.0,True
52947.68096949028,0.0,True,878312.5907359659,True,0.0,10981551.842729203,True,0.0,True
25446.759077342227,0.0,True,2074016.4324605176,True,0.0,28103916.443151385,True,0.0,True
0.0,4991.949214453567,False,1341333.3931332256,True,0.0,24075184.93654364,True,0.0,False
64715.61108781613,0.0,True,2699140.809976196,True,0.0,77769619.89601927,True,0.0,True
92716.07780426598,0.0,True,5239813.640135485,True,0.0,21557917.041383363,True,0.0,True
50050.089442363256,0.0,True,1389630.5112357503,True,0.0,6879139.588079715,True,0.0,True
26137.252799796646,0.0,True,2706656.2177615426,True,0.0,41925729.464763656,True,0.0,True
20131.053726412894,0.0,True,1334113.0147333676,True,0.0,9423483.868118703,True,0.0,True
30878.56586297141,0.0,True,2064919.094242145,True,0.0,30548595.429153882,True,0.0,True
54154.575658858346,0.0,True,1281051.9163694298,True,0.0,9168944.813295163,True,0.0,True
17291.12272658935,0.0,True,1422160.3248747566,True,0.0,21141964.304343235,True,0.0,True
